2025-09-10 23:47:56,282 DEBUG    root            Loaded Command Group: ['gcloud', 'services']
2025-09-10 23:47:56,283 DEBUG    root            Loaded Command Group: ['gcloud', 'services', 'list']
2025-09-10 23:47:56,284 DEBUG    root            Running [gcloud.services.list] with arguments: [--enabled: "True", --format: "value(name)", --project: "lionspace"]
2025-09-10 23:47:56,296 DEBUG    root            Chosen display Format:
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
         value(name)
2025-09-10 23:47:56,296 INFO     root            Display format: "
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
         value(name)"
2025-09-10 23:47:56,301 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): serviceusage.googleapis.com:443
2025-09-10 23:47:57,810 DEBUG    urllib3.connectionpool https://serviceusage.googleapis.com:443 "GET /v1/projects/lionspace/services?alt=json&filter=state%3AENABLED&pageSize=200 HTTP/11" 200 None
2025-09-10 23:47:57,976 INFO     ___FILE_ONLY___ projects/707897822334/services/accessapproval.googleapis.com

2025-09-10 23:47:57,976 INFO     ___FILE_ONLY___ projects/707897822334/services/anthosconfigmanagement.googleapis.com

2025-09-10 23:47:57,976 INFO     ___FILE_ONLY___ projects/707897822334/services/anthospolicycontroller.googleapis.com

2025-09-10 23:47:57,977 INFO     ___FILE_ONLY___ projects/707897822334/services/apikeys.googleapis.com

2025-09-10 23:47:57,977 INFO     ___FILE_ONLY___ projects/707897822334/services/apim.googleapis.com

2025-09-10 23:47:57,977 INFO     ___FILE_ONLY___ projects/707897822334/services/apphub.googleapis.com

2025-09-10 23:47:57,977 INFO     ___FILE_ONLY___ projects/707897822334/services/appoptimize.googleapis.com

2025-09-10 23:47:57,978 INFO     ___FILE_ONLY___ projects/707897822334/services/artifactregistry.googleapis.com

2025-09-10 23:47:57,978 INFO     ___FILE_ONLY___ projects/707897822334/services/autoscaling.googleapis.com

2025-09-10 23:47:57,979 INFO     ___FILE_ONLY___ projects/707897822334/services/bigquery.googleapis.com

2025-09-10 23:47:57,979 INFO     ___FILE_ONLY___ projects/707897822334/services/bigqueryconnection.googleapis.com

2025-09-10 23:47:57,979 INFO     ___FILE_ONLY___ projects/707897822334/services/bigquerydatapolicy.googleapis.com

2025-09-10 23:47:57,979 INFO     ___FILE_ONLY___ projects/707897822334/services/bigquerymigration.googleapis.com

2025-09-10 23:47:57,979 INFO     ___FILE_ONLY___ projects/707897822334/services/bigqueryreservation.googleapis.com

2025-09-10 23:47:57,980 INFO     ___FILE_ONLY___ projects/707897822334/services/bigquerystorage.googleapis.com

2025-09-10 23:47:57,980 INFO     ___FILE_ONLY___ projects/707897822334/services/cloudaicompanion.googleapis.com

2025-09-10 23:47:57,980 INFO     ___FILE_ONLY___ projects/707897822334/services/cloudapis.googleapis.com

2025-09-10 23:47:57,980 INFO     ___FILE_ONLY___ projects/707897822334/services/cloudasset.googleapis.com

